time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-4.68,98.5661,-0.807,0,25.971,-3.558,-18.616,32.151
-4.66,98.5651,-0.579,0,26.326,-3.558,-18.112,32.153
-4.64,98.5667,-0.76,0,26.326,-3.558,-18.112,32.153
-4.62,98.5635,-0.331,0,26.149,-3.38,-18.112,31.988
-4.6,98.5672,-0.304,0,26.326,-3.558,-18.364,32.295
-4.58,98.5672,-0.655,0,26.149,-3.736,-18.364,32.171
-4.56,98.5672,-0.591,0,26.326,-3.558,-18.112,32.153
-4.54,98.5661,-0.303,0,26.326,-3.558,-18.364,32.295
-4.52,98.5651,0.097,0,26.149,-3.736,-18.112,32.028
-4.5,98.5687,-0.417,0,26.149,-3.38,-18.364,32.131
-4.48,98.5672,-0.38,0,26.326,-3.558,-18.112,32.153
-4.46,98.5625,-0.235,0,26.504,-3.736,-18.112,32.319
-4.44,98.5646,-0.008,0,26.326,-3.558,-18.112,32.153
-4.42,98.562,0.442,0,26.326,-3.558,-18.112,32.153
-4.4,98.5604,1.117,0,26.326,-3.558,-18.364,32.295
-4.38,98.5625,0.797,0,26.326,-3.558,-18.364,32.295
-4.36,98.564,0.466,0,26.326,-3.558,-18.364,32.295
-4.34,98.5646,0.239,0,26.149,-3.736,-18.364,32.171
-4.32,98.5651,0.05,0,26.326,-3.558,-18.364,32.295
-4.3,98.5667,-0.323,0,26.326,-3.558,-18.364,32.295
-4.28,98.5651,0.322,0,26.326,-3.558,-18.616,32.439
-4.26,98.564,0.724,0,25.971,-3.558,-18.112,31.862
-4.24,98.5667,0.369,0,26.504,-3.736,-18.616,32.603
-4.22,98.564,0.299,0,26.149,-3.736,-18.112,32.028
-4.2,98.5672,-0.091,0,26.326,-3.913,-18.112,32.194
-4.18,98.5698,-0.23,0,26.149,-3.38,-18.364,32.131
-4.16,98.5661,-0.057,0,26.149,-3.736,-18.112,32.028
-4.14,98.5609,0.802,0,26.149,-3.736,-18.112,32.028
-4.12,98.5677,0.483,0,26.149,-3.736,-18.364,32.171
-4.1,98.564,0.72,0,26.504,-3.38,-18.112,32.279
-4.08,98.5651,0.457,0,25.971,-3.558,-18.364,32.006
-4.06,98.5687,-0.2,0,26.326,-3.558,-18.112,32.153
-4.04,98.5661,-0.492,0,26.326,-3.913,-18.112,32.194
-4.02,98.5625,-0.158,0,26.149,-3.38,-18.112,31.988
-4,98.5599,0.558,0,26.149,-3.736,-18.112,32.028
-3.98,98.562,0.959,0,26.149,-3.736,-18.364,32.171
-3.96,98.5635,1.046,0,26.149,-3.736,-18.112,32.028
-3.94,98.5656,0.986,0,25.971,-3.558,-18.112,31.862
-3.92,98.5656,0.536,0,26.326,-3.558,-18.364,32.295
-3.9,98.562,0.558,0,26.326,-3.558,-18.112,32.153
-3.88,98.5646,0.022,0,26.326,-3.558,-18.364,32.295
-3.86,98.5656,0.262,0,26.149,-3.736,-18.112,32.028
-3.84,98.5677,-0.039,0,26.149,-3.38,-18.364,32.131
-3.82,98.5677,-0.434,0,26.149,-3.736,-18.112,32.028
-3.8,98.5687,-0.678,0,26.149,-3.736,-18.364,32.171
-3.78,98.5677,-0.958,0,26.504,-3.736,-18.364,32.46
-3.76,98.5656,-0.822,0,26.149,-3.736,-18.112,32.028
-3.74,98.5656,-0.581,0,26.149,-3.38,-18.364,32.131
-3.72,98.5687,-0.865,0,26.326,-3.913,-18.112,32.194
-3.7,98.5682,-1.072,0,26.326,-3.913,-18.112,32.194
-3.68,98.563,-0.222,0,26.149,-3.38,-18.112,31.988
-3.66,98.5651,0.019,0,25.971,-3.558,-18.112,31.862
-3.64,98.5672,-0.065,0,26.326,-3.558,-18.364,32.295
-3.62,98.5719,-0.36,0,26.326,-3.558,-18.616,32.439
-3.6,98.5646,-0.152,0,26.326,-3.913,-18.364,32.336
-3.58,98.563,0.338,0,26.326,-3.913,-18.112,32.194
-3.56,98.5651,0.495,0,26.149,-3.736,-18.112,32.028
-3.54,98.5661,0.546,0,26.149,-3.736,-18.112,32.028
-3.52,98.5672,0.296,0,26.149,-3.736,-18.364,32.171
-3.5,98.563,0.299,0,26.149,-3.736,-18.112,32.028
-3.48,98.563,0.512,0,26.326,-3.558,-18.364,32.295
-3.46,98.5667,0.448,0,26.326,-3.558,-18.364,32.295
-3.44,98.5708,-0.002,0,26.504,-3.38,-18.364,32.421
-3.42,98.5656,0.02,0,26.149,-3.736,-18.112,32.028
-3.4,98.5635,0.371,0,26.326,-3.558,-18.364,32.295
-3.38,98.5651,0.313,0,26.149,-3.736,-18.364,32.171
-3.36,98.5667,0.206,0,26.326,-3.913,-18.364,32.336
-3.34,98.5661,-0.156,0,26.326,-3.558,-18.364,32.295
-3.32,98.5667,-0.773,0,26.326,-3.558,-18.364,32.295
-3.3,98.5667,-0.915,0,26.326,-3.558,-18.112,32.153
-3.28,98.5667,-1.006,0,26.504,-3.736,-18.364,32.46
-3.26,98.5599,-0.28,0,26.149,-3.736,-18.616,32.315
-3.24,98.5651,-0.243,0,26.326,-3.558,-18.112,32.153
-3.22,98.563,-0.044,0,26.504,-3.38,-18.112,32.279
-3.2,98.5651,-0.268,0,25.971,-3.558,-18.112,31.862
-3.18,98.564,-0.333,0,26.326,-3.558,-18.364,32.295
-3.16,98.564,-0.379,0,26.149,-3.736,-18.364,32.171
-3.14,98.5661,-0.632,0,26.149,-3.736,-18.364,32.171
-3.12,98.564,-0.604,0,26.504,-3.38,-18.364,32.421
-3.1,98.5656,-0.741,0,26.326,-3.558,-18.112,32.153
-3.08,98.5651,-0.785,0,25.971,-3.558,-18.112,31.862
-3.06,98.5667,-0.976,0,26.149,-3.736,-18.112,32.028
-3.04,98.564,-0.837,0,25.971,-3.558,-18.112,31.862
-3.02,98.5599,-0.278,0,26.326,-3.913,-18.112,32.194
-3,98.5677,-0.385,0,26.326,-3.913,-18.364,32.336
-2.98,98.5661,-0.254,0,26.149,-3.736,-18.364,32.171
-2.96,98.564,0.286,0,26.149,-3.736,-18.364,32.171
-2.94,98.562,0.975,0,26.326,-3.558,-18.364,32.295
-2.92,98.562,1.271,0,26.326,-3.913,-18.112,32.194
-2.9,98.5646,0.974,0,26.149,-3.736,-18.112,32.028
-2.88,98.5625,0.762,0,26.149,-3.736,-18.364,32.171
-2.86,98.564,0.736,0,26.149,-3.736,-18.364,32.171
-2.84,98.5687,0.25,0,26.326,-3.558,-18.112,32.153
-2.82,98.5661,-0.09,0,26.504,-3.736,-18.112,32.319
-2.8,98.5646,0.195,0,26.149,-3.38,-18.112,31.988
-2.78,98.5667,0.365,0,26.326,-3.558,-18.112,32.153
-2.76,98.5651,0.166,0,25.971,-3.558,-18.364,32.006
-2.74,98.5698,-0.65,0,26.326,-3.558,-18.112,32.153
-2.72,98.5672,-0.68,0,26.326,-3.558,-18.364,32.295
-2.7,98.5667,-0.68,0,26.149,-3.736,-18.112,32.028
-2.68,98.5693,-0.663,0,26.326,-3.558,-18.364,32.295
-2.66,98.5661,-0.794,0,26.326,-3.558,-18.364,32.295
-2.64,98.5635,-0.381,0,26.149,-3.38,-18.364,32.131
-2.62,98.5672,-0.757,0,26.326,-3.558,-18.364,32.295
-2.6,98.5651,-0.658,0,26.504,-3.736,-18.364,32.46
-2.58,98.563,-0.622,0,26.326,-3.558,-18.364,32.295
-2.56,98.563,-0.032,0,26.326,-3.558,-18.112,32.153
-2.54,98.5625,0.161,0,26.326,-3.558,-18.112,32.153
-2.52,98.5656,0.086,0,26.326,-3.558,-18.112,32.153
-2.5,98.5661,-0.09,0,26.149,-3.38,-18.112,31.988
-2.48,98.5646,0.15,0,26.149,-3.38,-18.364,32.131
-2.46,98.5635,0.277,0,26.149,-3.736,-18.364,32.171
-2.44,98.5677,-0.132,0,26.149,-3.736,-18.112,32.028
-2.42,98.5672,-0.351,0,26.149,-3.736,-18.364,32.171
-2.4,98.5703,-1.129,0,26.504,-3.736,-18.112,32.319
-2.38,98.5646,-0.851,0,26.326,-3.558,-18.364,32.295
-2.36,98.5677,-1.002,0,25.971,-3.913,-18.112,31.904
-2.34,98.5661,-0.772,0,26.149,-3.736,-18.112,32.028
-2.32,98.5651,-0.195,0,26.326,-3.913,-18.112,32.194
-2.3,98.5656,-0.622,0,26.149,-3.736,-18.112,32.028
-2.28,98.5656,-0.348,0,26.326,-3.558,-17.861,32.012
-2.26,98.5672,-0.462,0,26.682,-3.558,-18.364,32.586
-2.24,98.5635,-0.385,0,26.326,-3.558,-18.364,32.295
-2.22,98.5661,-0.11,0,26.682,-3.558,-18.364,32.586
-2.2,98.5661,0.103,0,26.326,-3.558,-18.112,32.153
-2.18,98.5646,0.483,0,25.971,-3.558,-18.364,32.006
-2.16,98.5672,0.049,0,26.326,-3.558,-18.364,32.295
-2.14,98.5667,0.353,0,26.149,-3.736,-18.112,32.028
-2.12,98.563,0.688,0,26.149,-3.38,-18.112,31.988
-2.1,98.5677,0.276,0,26.326,-3.558,-18.364,32.295
-2.08,98.5646,0.373,0,26.149,-3.736,-18.364,32.171
-2.06,98.5693,-0.222,0,25.971,-3.202,-18.112,31.824
-2.04,98.5635,0.132,0,26.149,-3.38,-18.112,31.988
-2.02,98.5677,-0.414,0,26.149,-3.736,-18.364,32.171
-2,98.5672,-0.403,0,26.326,-3.558,-18.112,32.153
-1.98,98.5651,-0.496,0,26.326,-3.558,-17.861,32.012
-1.96,98.5682,-0.615,0,26.326,-3.558,-18.112,32.153
-1.94,98.564,0.024,0,26.149,-3.736,-18.364,32.171
-1.92,98.5651,0.036,0,26.504,-3.736,-18.112,32.319
-1.9,98.5667,-0.064,0,26.504,-3.736,-18.112,32.319
-1.88,98.5656,-0.091,0,26.149,-3.736,-18.112,32.028
-1.86,98.5635,-0.386,0,26.149,-3.736,-18.364,32.171
-1.84,98.5651,-0.341,0,26.326,-3.558,-18.364,32.295
-1.82,98.5656,-0.243,0,26.326,-3.558,-18.616,32.439
-1.8,98.5677,-0.328,0,26.326,-3.558,-18.112,32.153
-1.78,98.5656,-0.281,0,26.326,-3.558,-18.112,32.153
-1.76,98.5682,-0.407,0,26.149,-3.736,-18.112,32.028
-1.74,98.5651,-0.06,0,26.326,-3.558,-18.112,32.153
-1.72,98.5651,-0.004,0,26.504,-3.736,-18.112,32.319
-1.7,98.5677,-0.514,0,26.149,-3.736,-18.112,32.028
-1.68,98.5656,-0.257,0,26.504,-3.38,-18.112,32.279
-1.66,98.5687,-0.656,0,26.326,-3.558,-18.112,32.153
-1.64,98.5661,-0.524,0,26.149,-3.38,-18.616,32.276
-1.62,98.563,-0.248,0,26.326,-3.913,-18.112,32.194
-1.6,98.5646,-0.08,0,26.149,-3.736,-18.112,32.028
-1.58,98.563,0.377,0,25.971,-3.558,-18.364,32.006
-1.56,98.5646,0.508,0,26.149,-3.736,-18.112,32.028
-1.54,98.5651,0.264,0,25.971,-3.558,-18.364,32.006
-1.52,98.5667,0.114,0,26.326,-3.558,-18.112,32.153
-1.5,98.5651,0.153,0,26.149,-3.736,-18.112,32.028
